        TV  radio  newspaper  sales  Predicted Sales
168  215.4   23.6       57.6   17.1        17.237849
109  255.4   26.9        5.5   19.8        19.507519
106   25.0   11.0       29.7    7.2         6.260456
157  149.8    1.3       24.3   10.1         9.992598
112  175.7   15.4        2.4   14.1        13.758274
43   206.9    8.4       26.4   12.9        13.895736
98   289.7   42.3       51.2   25.4        24.081528
140   73.4   17.0       12.9   10.9         9.514148
195   38.2    3.7       13.8    7.6         5.425860
12    23.8   35.1       65.9    9.2        10.866334
